epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,942.999,4.0826,5.39013,2.89943,0.10472,0.10471,0.04269,0.01334,3.13925,3.97171,1.98322,0.000664875,0.000664875,0.000664875
2,2182.06,2.87196,2.69907,1.7876,0.19479,0.1621,0.09513,0.03242,2.70122,2.57807,1.66381,0.000672428,0.000672428,0.000672428
